added_modes,n_zeros,Var,ratio_cvm,class_cvm
1+2,134,0.65939,1.4074,Poisson
1+3,120,0.51353,1.4291,Poisson
1+4,112,0.45552,1.3903,Poisson
1+5,116,0.48918,1.3647,Poisson
1+6,112,0.43884,1.3429,Poisson
1+7,106,0.39818,1.3124,Poisson
1+8,118,0.51113,1.3197,Poisson
1+9,108,0.42107,1.348,Poisson
1+10,110,0.45566,1.326,Poisson
1+11,106,0.42593,1.3124,Poisson
2+3,236,0.41064,1.8089,Poisson
2+4,198,0.29296,1.6075,GOE
2+5,218,0.37556,1.8021,GOE
2+6,190,0.29121,1.5503,GOE
2+7,202,0.33437,1.657,GOE
2+8,200,0.33927,1.6528,GOE
2+9,202,0.33753,1.6401,GOE
2+10,198,0.32861,1.561,GOE
2+11,192,0.30329,1.4938,GOE
3+4,304,0.33755,2.5365,GOE
3+5,296,0.31001,2.7302,GOE
3+6,278,0.28205,2.2288,GOE
3+7,282,0.30719,2.8415,GOE
3+8,285,0.3078,2.9433,GOE
3+9,278,0.31162,2.6101,GOE
3+10,260,0.2966,2.3631,GOE
3+11,276,0.30991,2.363,GOE
4+5,332,0.27438,4.0131,GOE
4+6,318,0.23063,3.543,GOE
4+7,336,0.27609,4.0657,GOE
4+8,318,0.24569,4.7303,GOE
4+9,318,0.2492,3.5637,GOE
4+10,322,0.26711,4.7038,GOE
4+11,318,0.26371,3.9287,GOE
5+6,356,0.2266,5.1623,GOE
5+7,356,0.20698,1.9534,GOE
5+8,365,0.21976,3.5526,GOE
5+9,370,0.2194,3.2502,GOE
5+10,384,0.23167,5.8927,GOE
5+11,362,0.22228,2.2806,GOE
6+7,384,0.20033,0.5761,GUE
6+8,387,0.19652,0.1907,GUE
6+9,378,0.18765,0.1439,GUE
6+10,391,0.19427,0.1782,GUE
6+11,402,0.19786,0.2445,GUE
7+8,409,0.18094,0.0604,GUE
7+9,398,0.17409,0.1199,GUE
7+10,410,0.17584,0.0714,GUE
7+11,402,0.18807,0.1503,GUE
8+9,421,0.15775,0.148,GUE
8+10,425,0.1519,0.1563,GUE
8+11,415,0.15408,0.2421,GUE
9+10,429,0.15582,0.214,GUE
9+11,442,0.14452,0.2521,GUE
10+11,456,0.13927,0.3192,GUE
1+2+3+4+5+6+7+8+9+10,176,0.52237,1.9205,Poisson
