group,l_factor,t_factor,degree,l_max,t_max,n_zeros,Var,ratio_cvm,class_cvm
2I,0.5,0.5,2,150,99.99,217,0.0979,0.5229,GUE
2I,0.5,0.5,3,150,99.99,217,0.0939,0.567,GUE
2I,0.5,0.5,4,150,99.99,217,0.0926,0.5946,GUE
2I,0.5,1.0,2,150,199.98,481,0.0966,0.5872,GUE
2I,0.5,1.0,3,150,199.98,481,0.096,0.5894,GUE
2I,0.5,1.0,4,150,199.98,481,0.0925,0.5965,GUE
2I,0.5,2.0,2,150,399.96,967,0.1029,0.5555,GUE
2I,0.5,2.0,3,150,399.96,967,0.1025,0.5441,GUE
2I,0.5,2.0,4,150,399.96,967,0.1035,0.5611,GUE
2I,1.0,0.5,2,300,99.99,239,0.1287,0.4133,GUE
2I,1.0,0.5,3,300,99.99,239,0.1176,0.5314,GUE
2I,1.0,0.5,4,300,99.99,239,0.1019,0.5414,GUE
2I,1.0,1.0,2,300,199.98,498,0.1226,0.4537,GUE
2I,1.0,1.0,3,300,199.98,498,0.1176,0.4943,GUE
2I,1.0,1.0,4,300,199.98,498,0.1114,0.5442,GUE
2I,1.0,2.0,2,300,399.96,1099,0.1117,0.5783,GUE
2I,1.0,2.0,3,300,399.96,1099,0.1118,0.5782,GUE
2I,1.0,2.0,4,300,399.96,1099,0.1093,0.5877,GUE
2I,2.0,0.5,2,600,99.99,273,0.148,0.4541,GUE
2I,2.0,0.5,3,600,99.99,273,0.1239,0.4218,GUE
2I,2.0,0.5,4,600,99.99,273,0.1222,0.4163,GUE
2I,2.0,1.0,2,600,199.98,530,0.155,0.3457,GUE
2I,2.0,1.0,3,600,199.98,530,0.131,0.4887,GUE
2I,2.0,1.0,4,600,199.98,530,0.122,0.5081,GUE
2I,2.0,2.0,2,600,399.96,1131,0.1291,0.4922,GUE
2I,2.0,2.0,3,600,399.96,1131,0.126,0.5002,GUE
2I,2.0,2.0,4,600,399.96,1131,0.1176,0.5567,GUE
2O,0.5,0.5,2,148,99.95,221,0.1232,0.4538,GUE
2O,0.5,0.5,3,148,99.95,221,0.1145,0.5224,GUE
2O,0.5,0.5,4,148,99.95,221,0.1102,0.6018,GUE
2O,0.5,1.0,2,148,199.9,485,0.1058,0.5919,GUE
2O,0.5,1.0,3,148,199.9,485,0.1057,0.5925,GUE
2O,0.5,1.0,4,148,199.9,485,0.1034,0.6125,GUE
2O,0.5,2.0,2,148,399.8,1001,0.1056,0.6086,GUE
2O,0.5,2.0,3,148,399.8,1001,0.1047,0.5944,GUE
2O,0.5,2.0,4,148,399.8,1001,0.105,0.6038,GUE
