Gamma,family,order,solvable,l_gap,lambda1,n_active,density,n_zeros,t_max,Var,ratio_cvm,class_cvm,reached_N
Z2,cyclic,2,True,2,8,150,0.5,500,184.65,0.09911,0.5854,GUE,True
Z3,cyclic,3,True,2,8,299,0.9967,500,197.8,0.1149,0.5299,GUE,True
Z4,cyclic,4,True,2,8,150,0.5,500,183.32,0.09136,0.6133,GUE,True
Z5,cyclic,5,True,2,8,298,0.9933,500,202.22,0.13952,0.5603,GUE,True
Z6,cyclic,6,True,2,8,150,0.5,500,186.0,0.09745,0.5942,GUE,True
Z7,cyclic,7,True,2,8,297,0.99,500,205.32,0.15969,0.5085,GUE,True
Z8,cyclic,8,True,2,8,150,0.5,500,188.6,0.11297,0.5755,GUE,True
Z9,cyclic,9,True,2,8,296,0.9867,500,214.35,0.19775,0.4614,GUE,True
Z10,cyclic,10,True,2,8,150,0.5,500,187.25,0.12566,0.5354,GUE,True
Z11,cyclic,11,True,2,8,295,0.9833,500,212.03,0.24001,0.451,GUE,True
Z12,cyclic,12,True,2,8,150,0.5,500,191.88,0.14989,0.5163,GUE,True
Z13,cyclic,13,True,2,8,294,0.98,500,232.09,0.30832,1.1494,GOE,True
Z14,cyclic,14,True,2,8,150,0.5,500,191.87,0.175,0.449,GUE,True
Z15,cyclic,15,True,2,8,293,0.9767,500,234.89,0.32634,1.532,GOE,True
Z16,cyclic,16,True,2,8,150,0.5,500,195.78,0.20157,0.449,GUE,True
Z17,cyclic,17,True,2,8,292,0.9733,500,243.65,0.36833,1.8021,GOE,True
Z18,cyclic,18,True,2,8,150,0.5,500,201.0,0.22435,0.4821,GUE,True
Z19,cyclic,19,True,2,8,291,0.97,500,252.87,0.40674,2.0577,GOE,True
Z20,cyclic,20,True,2,8,150,0.5,500,202.95,0.25485,0.5363,GUE,True
Z21,cyclic,21,True,2,8,290,0.9667,500,262.9,0.43334,2.0494,GOE,True
Z22,cyclic,22,True,2,8,150,0.5,500,205.43,0.29372,0.6553,GUE,True
Z23,cyclic,23,True,2,8,289,0.9633,500,271.43,0.42033,2.222,GOE,True
Z24,cyclic,24,True,2,8,150,0.5,500,209.31,0.3251,0.8819,GUE,True
Z25,cyclic,25,True,2,8,288,0.96,500,285.54,0.42208,2.3648,GOE,True
Z26,cyclic,26,True,2,8,150,0.5,500,223.94,0.3732,1.4126,GOE,True
Z27,cyclic,27,True,2,8,287,0.9567,500,288.25,0.41164,2.3986,GOE,True
Z28,cyclic,28,True,2,8,150,0.5,500,223.32,0.37556,1.5701,GOE,True
Z29,cyclic,29,True,2,8,286,0.9533,500,298.0,0.43269,2.4505,GOE,True
