l,Gen,Vtx,Face,Edge,vtx_slot,face_slot,edge_slot
0,1/60,2/5,1/3,1/4,0,0,0
1,0,0,0,0,1,1,1
2,1/20,1/5,0,-1/4,2,2,2
3,0,0,0,0,3,3,3
4,1/12,0,-1/3,1/4,4,4,0
5,0,0,0,0,5,5,1
6,7/60,-1/5,1/3,-1/4,6,0,2
7,0,0,0,0,7,1,3
8,3/20,-2/5,0,1/4,8,2,0
9,0,0,0,0,9,3,1
10,11/60,2/5,-1/3,-1/4,0,4,2
11,0,0,0,0,1,5,3
12,13/60,1/5,1/3,1/4,2,0,0
13,0,0,0,0,3,1,1
14,1/4,0,0,-1/4,4,2,2
15,0,0,0,0,5,3,3
16,17/60,-1/5,-1/3,1/4,6,4,0
17,0,0,0,0,7,5,1
18,19/60,-2/5,1/3,-1/4,8,0,2
19,0,0,0,0,9,1,3
20,7/20,2/5,0,1/4,0,2,0
21,0,0,0,0,1,3,1
22,23/60,1/5,-1/3,-1/4,2,4,2
23,0,0,0,0,3,5,3
24,5/12,0,1/3,1/4,4,0,0
25,0,0,0,0,5,1,1
26,9/20,-1/5,0,-1/4,6,2,2
27,0,0,0,0,7,3,3
28,29/60,-2/5,-1/3,1/4,8,4,0
29,0,0,0,0,9,5,1
30,31/60,2/5,1/3,-1/4,0,0,2
31,0,0,0,0,1,1,3
32,11/20,1/5,0,1/4,2,2,0
33,0,0,0,0,3,3,1
34,7/12,0,-1/3,-1/4,4,4,2
35,0,0,0,0,5,5,3
36,37/60,-1/5,1/3,1/4,6,0,0
37,0,0,0,0,7,1,1
38,13/20,-2/5,0,-1/4,8,2,2
39,0,0,0,0,9,3,3
40,41/60,2/5,-1/3,1/4,0,4,0
41,0,0,0,0,1,5,1
42,43/60,1/5,1/3,-1/4,2,0,2
43,0,0,0,0,3,1,3
44,3/4,0,0,1/4,4,2,0
45,0,0,0,0,5,3,1
46,47/60,-1/5,-1/3,-1/4,6,4,2
47,0,0,0,0,7,5,3
48,49/60,-2/5,1/3,1/4,8,0,0
49,0,0,0,0,9,1,1
50,17/20,2/5,0,-1/4,0,2,2
51,0,0,0,0,1,3,3
52,53/60,1/5,-1/3,1/4,2,4,0
53,0,0,0,0,3,5,1
54,11/12,0,1/3,-1/4,4,0,2
55,0,0,0,0,5,1,3
56,19/20,-1/5,0,1/4,6,2,0
57,0,0,0,0,7,3,1
58,59/60,-2/5,-1/3,-1/4,8,4,2
59,0,0,0,0,9,5,3
