Gamma,p1,theta,size,chi_at_p1,returned_to_1
Z2,4,0,1,5.0,False
Z2,4,pi,1,5.0,False
Z3,6,0,1,7.0,False
Z3,6,2pi/3,1,1.0,True
Z3,6,4pi/3,1,1.0,True
Z4,8,0,1,9.0,False
Z4,8,2pi/4,1,1.0,True
Z4,8,pi,1,9.0,False
Z4,8,6pi/4,1,1.0,True
Z5,10,0,1,11.0,False
Z5,10,2pi/5,1,1.0,True
Z5,10,4pi/5,1,1.0,True
Z5,10,6pi/5,1,1.0,True
Z5,10,8pi/5,1,1.0,True
Z6,12,0,1,13.0,False
Z6,12,2pi/6,1,1.0,True
Z6,12,4pi/6,1,1.0,True
Z6,12,pi,1,13.0,False
Z6,12,8pi/6,1,1.0,True
Z6,12,10pi/6,1,1.0,True
Z7,14,0,1,15.0,False
Z7,14,2pi/7,1,1.0,True
Z7,14,4pi/7,1,1.0,True
Z7,14,6pi/7,1,1.0,True
Z7,14,8pi/7,1,1.0,True
Z7,14,10pi/7,1,1.0,True
Z7,14,12pi/7,1,1.0,True
Z8,16,0,1,17.0,False
Z8,16,2pi/8,1,1.0,True
Z8,16,4pi/8,1,1.0,True
Z8,16,6pi/8,1,1.0,True
Z8,16,pi,1,17.0,False
Z8,16,10pi/8,1,1.0,True
Z8,16,12pi/8,1,1.0,True
Z8,16,14pi/8,1,1.0,True
Z9,18,0,1,19.0,False
Z9,18,2pi/9,1,1.0,True
Z9,18,4pi/9,1,1.0,True
Z9,18,6pi/9,1,1.0,True
Z9,18,8pi/9,1,1.0,True
Z9,18,10pi/9,1,1.0,True
Z9,18,12pi/9,1,1.0,True
Z9,18,14pi/9,1,1.0,True
Z9,18,16pi/9,1,1.0,True
Z10,20,0,1,21.0,False
Z10,20,2pi/10,1,1.0,True
Z10,20,4pi/10,1,1.0,True
Z10,20,6pi/10,1,1.0,True
Z10,20,8pi/10,1,1.0,True
Z10,20,pi,1,21.0,False
Z10,20,12pi/10,1,1.0,True
Z10,20,14pi/10,1,1.0,True
Z10,20,16pi/10,1,1.0,True
Z10,20,18pi/10,1,1.0,True
Z11,22,0,1,23.0,False
Z11,22,2pi/11,1,1.0,True
Z11,22,4pi/11,1,1.0,True
Z11,22,6pi/11,1,1.0,True
Z11,22,8pi/11,1,1.0,True
Z11,22,10pi/11,1,1.0,True
Z11,22,12pi/11,1,1.0,True
Z11,22,14pi/11,1,1.0,True
Z11,22,16pi/11,1,1.0,True
Z11,22,18pi/11,1,1.0,True
Z11,22,20pi/11,1,1.0,True
Z12,24,0,1,25.0,False
Z12,24,2pi/12,1,1.0,True
Z12,24,4pi/12,1,1.0,True
Z12,24,6pi/12,1,1.0,True
Z12,24,8pi/12,1,1.0,True
Z12,24,10pi/12,1,1.0,True
Z12,24,pi,1,25.0,False
Z12,24,14pi/12,1,1.0,True
Z12,24,16pi/12,1,1.0,True
Z12,24,18pi/12,1,1.0,True
Z12,24,20pi/12,1,1.0,True
Z12,24,22pi/12,1,1.0,True
Z13,26,0,1,27.0,False
Z13,26,2pi/13,1,1.0,True
Z13,26,4pi/13,1,1.0,True
Z13,26,6pi/13,1,1.0,True
Z13,26,8pi/13,1,1.0,True
Z13,26,10pi/13,1,1.0,True
Z13,26,12pi/13,1,1.0,True
Z13,26,14pi/13,1,1.0,True
Z13,26,16pi/13,1,1.0,True
Z13,26,18pi/13,1,1.0,True
Z13,26,20pi/13,1,1.0,True
Z13,26,22pi/13,1,1.0,True
Z13,26,24pi/13,1,1.0,True
Z14,28,0,1,29.0,False
Z14,28,2pi/14,1,1.0,True
Z14,28,4pi/14,1,1.0,True
Z14,28,6pi/14,1,1.0,True
Z14,28,8pi/14,1,1.0,True
Z14,28,10pi/14,1,1.0,True
Z14,28,12pi/14,1,1.0,True
Z14,28,pi,1,29.0,False
Z14,28,16pi/14,1,1.0,True
Z14,28,18pi/14,1,1.0,True
Z14,28,20pi/14,1,1.0,True
Z14,28,22pi/14,1,1.0,True
Z14,28,24pi/14,1,1.0,True
Z14,28,26pi/14,1,1.0,True
Z15,30,0,1,31.0,False
Z15,30,2pi/15,1,1.0,True
Z15,30,4pi/15,1,1.0,True
