Gamma,l,m
Z2,0,1
Z2,1,0
Z2,2,3
Z2,3,0
Z2,4,5
Z2,5,0
Z2,6,7
Z2,7,0
Z2,8,9
Z2,9,0
Z2,10,11
Z2,11,0
Z2,12,13
Z2,13,0
Z2,14,15
Z2,15,0
Z2,16,17
Z2,17,0
Z2,18,19
Z2,19,0
Z2,20,21
Z2,21,0
Z2,22,23
Z2,23,0
Z2,24,25
Z2,25,0
Z2,26,27
Z2,27,0
Z2,28,29
Z2,29,0
Z2,30,31
Z2,31,0
Z2,32,33
Z2,33,0
Z2,34,35
Z2,35,0
Z2,36,37
Z2,37,0
Z2,38,39
Z2,39,0
Z2,40,41
Z2,41,0
Z2,42,43
Z2,43,0
Z2,44,45
Z2,45,0
Z2,46,47
Z2,47,0
Z2,48,49
Z2,49,0
Z2,50,51
Z2,51,0
Z2,52,53
Z2,53,0
Z2,54,55
Z2,55,0
Z2,56,57
Z2,57,0
Z2,58,59
Z2,59,0
Z2,60,61
Z2,61,0
Z2,62,63
Z2,63,0
Z2,64,65
Z2,65,0
Z2,66,67
Z2,67,0
Z2,68,69
Z2,69,0
Z2,70,71
Z2,71,0
Z2,72,73
Z2,73,0
Z2,74,75
Z2,75,0
Z2,76,77
Z2,77,0
Z2,78,79
Z2,79,0
Z2,80,81
Z2,81,0
Z2,82,83
Z2,83,0
Z2,84,85
Z2,85,0
Z2,86,87
Z2,87,0
Z2,88,89
Z2,89,0
Z2,90,91
Z2,91,0
Z2,92,93
Z2,93,0
Z2,94,95
Z2,95,0
Z2,96,97
Z2,97,0
Z2,98,99
Z2,99,0
Z2,100,101
Z2,101,0
Z2,102,103
Z2,103,0
Z2,104,105
Z2,105,0
Z2,106,107
Z2,107,0
Z2,108,109
Z2,109,0
Z2,110,111
Z2,111,0
Z2,112,113
Z2,113,0
Z2,114,115
Z2,115,0
Z2,116,117
Z2,117,0
Z2,118,119
Z2,119,0
Z2,120,121
Z3,0,1
Z3,1,0
Z3,2,1
Z3,3,2
Z3,4,1
Z3,5,2
Z3,6,3
Z3,7,2
Z3,8,3
Z3,9,4
Z3,10,3
Z3,11,4
Z3,12,5
Z3,13,4
Z3,14,5
Z3,15,6
Z3,16,5
Z3,17,6
Z3,18,7
Z3,19,6
Z3,20,7
Z3,21,8
Z3,22,7
Z3,23,8
Z3,24,9
Z3,25,8
Z3,26,9
Z3,27,10
Z3,28,9
Z3,29,10
Z3,30,11
Z3,31,10
Z3,32,11
Z3,33,12
Z3,34,11
Z3,35,12
Z3,36,13
Z3,37,12
Z3,38,13
Z3,39,14
Z3,40,13
Z3,41,14
Z3,42,15
Z3,43,14
Z3,44,15
Z3,45,16
Z3,46,15
Z3,47,16
Z3,48,17
Z3,49,16
Z3,50,17
Z3,51,18
Z3,52,17
Z3,53,18
Z3,54,19
Z3,55,18
Z3,56,19
Z3,57,20
Z3,58,19
Z3,59,20
Z3,60,21
Z3,61,20
Z3,62,21
Z3,63,22
Z3,64,21
Z3,65,22
Z3,66,23
Z3,67,22
Z3,68,23
Z3,69,24
Z3,70,23
Z3,71,24
Z3,72,25
Z3,73,24
Z3,74,25
Z3,75,26
Z3,76,25
Z3,77,26
Z3,78,27
Z3,79,26
Z3,80,27
Z3,81,28
Z3,82,27
Z3,83,28
Z3,84,29
Z3,85,28
Z3,86,29
Z3,87,30
Z3,88,29
Z3,89,30
Z3,90,31
Z3,91,30
Z3,92,31
Z3,93,32
Z3,94,31
Z3,95,32
Z3,96,33
Z3,97,32
Z3,98,33
Z3,99,34
Z3,100,33
Z3,101,34
Z3,102,35
Z3,103,34
Z3,104,35
Z3,105,36
Z3,106,35
Z3,107,36
Z3,108,37
Z3,109,36
Z3,110,37
Z3,111,38
Z3,112,37
Z3,113,38
Z3,114,39
Z3,115,38
Z3,116,39
Z3,117,40
Z3,118,39
Z3,119,40
Z3,120,41
Z4,0,1
Z4,1,0
Z4,2,1
Z4,3,0
Z4,4,3
Z4,5,0
Z4,6,3
Z4,7,0
Z4,8,5
Z4,9,0
Z4,10,5
Z4,11,0
Z4,12,7
Z4,13,0
Z4,14,7
Z4,15,0
Z4,16,9
Z4,17,0
Z4,18,9
Z4,19,0
Z4,20,11
Z4,21,0
